what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538624121197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538624123943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538624196251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538625140099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538627376499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538627384336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538627387175
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538627387846
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1538627389983
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1538627389983
